SIZE,FUEL,DISTANCE,DESIBEL,AIRFLOW,FREQUENCY,BOS,Operation_Code,STATUS
4,thinner,120,94,6,5,279.7,21175,0
4,gasoline,20,91,11.9,12,260.05,37444A,1
6,lpg,180,104,0,66,313.2,37444C,0
4,gasoline,40,92,13.5,25,271.6,22086,1
5,gasoline,110,79,3.1,2,225.45,22083,0
1,gasoline,70,108,12.9,42,294.4,84971S,1
4,thinner,50,105,11.5,20,307.75,71270,1
5,thinner,30,110,16,45,328.5,47580,1
7,lpg,90,87,9.7,6,259.85,22261,1
2,gasoline,10,109,15.2,21,323.95,84832,1
3,thinner,130,91,5.6,13,267.05,22644,1
3,kerosene,190,96,0,67,284.8,21533,0
1,thinner,20,95,16,46,290.25,21557,1
1,thinner,40,96,0,68,262.8,15056BL,1
3,gasoline,190,103,3.2,42,307.65,15056N,0
1,kerosene,160,105,3.7,42,289.75,22646,0
1,gasoline,170,93,2.2,12,247.15,22176,0
1,gasoline,140,96,1.7,65,281.8,22438,0
2,gasoline,150,93,5.6,27,238.15,21731,0
2,thinner,10,93,15.1,51,271.15,22778,1
3,thinner,190,91,1.9,8,281.05,22719,0
1,thinner,10,,12.3,14,319.3,21523,1
7,lpg,160,93,2.3,12,245.15,D,0
3,kerosene,110,96,0,68,271.8,10002,0
4,kerosene,130,92,4.6,11,252.6,21912,0
4,thinner,150,96,4.2,44,254.8,21832,0
2,kerosene,180,105,1.1,65,279.75,22411,0
2,thinner,10,110,15.4,48,286.5,22379,1
2,kerosene,20,92,16,44,277.6,22381,1
1,thinner,20,106,13.2,20,293.3,22798,1
3,gasoline,10,93,15.1,51,278.15,22726,1
3,kerosene,90,90,8.9,8,251.5,22926,1
5,kerosene,160,94,6.5,27,248.7,22839,0
3,gasoline,40,86,7.4,3,255.3,22838,1
4,gasoline,100,89,7.1,7,265.95,22783,0
5,thinner,170,96,4.6,26,285.8,35004C,0
4,gasoline,170,94,4.2,25,287.7,82484,0
2,gasoline,30,108,14.2,34,289.4,84755,1
5,kerosene,-80,96,1.7,65,272.8,22464,0
7,lpg,90,103,0,75,268.65,21324,0
2,thinner,180,102,2.5,51,263.1,22457,0
1,thinner,20,104,15.5,40,297.2,22469,1
4,thinner,100,89,7.5,6,234.95,22470,0
2,thinner,90,105,3.1,65,302.75,22224,0
4,kerosene,120,103,5.7,24,304.65,21340,0
3,thinner,110,95,3.4,55,242.25,22189,0
3,kerosene,60,105,12.2,23,295.75,22427,1
3,kerosene,70,106,12,26,309.3,22428,1
4,thinner,70,88,10.7,17,255.4,22424,1
3,thinner,150,105,0,70,298.75,22783,0
2,kerosene,90,89,8.5,9,233.95,22961,1
4,thinner,140,92,4.5,40,245.6,22960,0
4,thinner,30,97,11.8,9,284.35,22663,1
3,kerosene,120,104,6.1,44,302.2,85049A,0
5,kerosene,30,110,14.8,36,292.5,22168,1
5,kerosene,10,93,15.1,51,255.15,22662,1
4,thinner,120,105,4.8,52,300.75,84880,0
6,lpg,140,92,4.8,46,258.6,85099C,0
4,thinner,110,107,8.9,35,283.85,85099B,0
2,thinner,110,106,7.7,40,272.3,79321,0
4,kerosene,40,102,4.5,65,300.1,22780,1
2,gasoline,140,92,6,27,259.6,22779,1
4,kerosene,170,91,2,7,244.05,22466,0
3,thinner,100,94,6,20,268.7,21731,1
5,kerosene,180,102,3.2,16,296.1,21754,0
2,gasoline,40,91,10.4,15,256.05,21755,1
1,thinner,90,88,10,7,261.4,21523,1
4,thinner,150,89,4.4,13,235.95,21363,0
4,kerosene,120,104,6.5,19,301.2,21411,0
5,gasoline,140,90,3.2,10,254.5,22318,0
2,kerosene,70,86,5.8,3,246.3,22464,1
5,kerosene,190,102,2.5,51,261.1,22915,0
3,thinner,90,96,2.5,66,269.8,22922,0
2,gasoline,100,90,5.8,8,256.5,22969,1
2,gasoline,170,95,2.2,60,288.25,22923,0
2,thinner,70,89,9.3,9,269.95,21115,1
2,thinner,30,108,11.5,25,301.4,22469,1
2,gasoline,170,91,2.1,9,270.05,22242,0
4,thinner,20,91,11.9,12,253.05,22941,1
2,thinner,10,105,14.5,17,299.75,21622,1
2,thinner,60,108,12.6,48,283.4,21791,1
3,kerosene,110,100,7.7,16,257,35004C,1
3,thinner,180,94,3.8,28,279.7,35004G,0
3,thinner,50,104,4,65,280.2,85014B,1
1,gasoline,70,90,10.7,15,267.5,85014A,1
6,lpg,60,102,0,70,266.1,22193,0
2,kerosene,120,101,8.6,15,291.55,22726,1
2,thinner,50,105,12.9,24,280.75,22727,1
2,thinner,80,89,10.4,17,258.95,22192,1
6,lpg,90,105,11,25,312.75,22191,1
4,thinner,80,107,8.2,52,281.85,22195,0
4,kerosene,150,91,4.3,,277.05,22196,0
1,gasoline,140,82,2.1,2,209.1,22941,0
5,gasoline,170,91,2,7,271.05,22960,0
7,lpg,110,87,6.7,4,238.85,22961,0
3,gasoline,150,96,0,68,257.8,22962,0
4,gasoline,170,102,0,75,289.1,22963,0
2,gasoline,150,95,2.8,51,280.25,22968,0
4,gasoline,110,106,2.7,65,282.3,84970S,0
1,gasoline,140,104,4.4,48,287.2,22910,0
3,kerosene,190,90,3.6,15,237.5,20668,0
3,thinner,140,91,5.2,24,262.05,85123A,0
4,thinner,160,92,5.2,26,234.6,22197,0
2,thinner,160,92,3.4,16,243.6,22198,0
4,gasoline,30,85,10.7,12,246.75,21533,1
7,lpg,70,103,0,72,262.65,21080,0
7,lpg,140,89,4.4,7,239.95,21094,0
1,thinner,130,92,6.5,26,256.6,21086,1
5,kerosene,100,94,6,20,267.7,21786,1
4,thinner,110,104,7.3,23,307.2,22654,0
5,gasoline,120,106,7.7,27,297.3,21485,1
7,lpg,140,96,1.7,65,269.8,84029G,0
1,kerosene,180,92,3.1,45,237.6,84030E,0
2,gasoline,40,89,10.9,14,246.95,22174,1
7,lpg,100,98,0,75,251.9,22969,0
2,kerosene,10,102,13.3,55,270.1,85099B,1
5,thinner,-77,95,3.9,45,264.25,22556,0
3,thinner,120,104,6.5,19,279.2,21984,1
7,lpg,60,107,13.8,40,290.85,21983,1
3,kerosene,80,92,10.5,21,254.6,21980,1
4,kerosene,50,106,12.5,19,289.3,21484,1
3,gasoline,110,96,3.7,60,294.8,22557,0
5,gasoline,70,106,7.5,55,288.3,22553,1
5,kerosene,130,92,5,19,252.6,22150,0
2,kerosene,40,110,14.4,36,301.5,22619,1
7,lpg,150,94,3.8,47,284.7,21891,0
5,kerosene,60,106,12.5,24,304.3,21889,1
4,gasoline,190,102,2.6,46,302.1,22827,0
3,thinner,30,89,14.2,32,226.95,22127,1
7,lpg,140,96,0,75,272.8,22128,0
1,kerosene,110,74,0,1,210.7,22502,0
1,gasoline,50,108,13.5,27,312.4,84879,1
3,gasoline,70,91,11,18,247.05,22338,1
6,lpg,140,91,4,21,281.05,22180,1
5,gasoline,50,96,0,70,281.8,21506,0
3,kerosene,160,94,6.5,27,250.7,22633,0
2,gasoline,120,90,4.2,12,265.5,22866,1
7,lpg,30,89,11.3,7,256.95,22865,1
2,gasoline,120,95,3.3,60,261.25,22632,0
5,thinner,90,105,12.8,30,277.75,21485,0
2,kerosene,140,86,4.6,3,235.3,22349,0
2,gasoline,180,95,,26,273.25,22558,0
2,thinner,70,106,12.6,32,277.3,85152,1
2,kerosene,40,107,15.2,44,299.85,85123A,1
4,kerosene,50,108,13.5,27,300.4,22652,1
4,thinner,60,108,13.5,27,312.4,22188,1
6,lpg,100,105,10,34,311.75,84879,1
4,gasoline,160,92,3.4,22,242.6,21977,0
6,lpg,100,104,10.3,36,307.2,84991,1
3,gasoline,30,107,13.8,51,304.85,21212,1
7,lpg,170,94,2.7,50,277.7,21484,0
5,thinner,110,83,3.7,3,224.65,21314,0
1,gasoline,130,96,0,72,268.8,22730,0
3,kerosene,80,105,10.6,25,285.75,22727,1
4,gasoline,170,100,2.3,51,303,22729,0
2,kerosene,60,108,12.6,48,311.4,22726,1
1,kerosene,150,94,3.8,47,252.7,22114,0
4,kerosene,100,88,7,5,269.4,22867,0
1,kerosene,70,96,0,75,294.8,22866,0
4,kerosene,140,93,3.7,12,272.15,85123A,0
3,gasoline,100,105,10,34,291.75,71053,1
5,kerosene,110,100,7.7,16,295,84406B,1
2,gasoline,40,104,0,75,285.2,15056BL,0
1,kerosene,150,93,6.3,14,269.15,20679,1
2,thinner,130,92,8.3,32,268.6,37370,0
6,lpg,150,93,3.7,46,277.15,21871,0
4,thinner,190,94,2.6,47,276.7,21071,0
4,gasoline,30,90,10.3,15,264.5,21068,1
3,thinner,170,94,3.7,30,283.7,82483,0
4,thinner,130,86,4.9,6,238.3,82486,0
7,lpg,30,87,11,6,261.85,82482,1
1,thinner,190,96,0,67,291.8,82494L,0
7,lpg,110,96,0,70,285.8,84029G,0
4,thinner,60,90,10.6,7,259.5,84029E,1
2,gasoline,80,94,6.5,55,265.7,22752,1
4,gasoline,140,82,2.1,2,255.1,22803,0
7,lpg,30,96,0,72,283.8,21730,0
2,thinner,40,90,11,7,229.5,35004B,1
3,thinner,80,106,12,44,310.3,35004C,0
5,gasoline,50,106,12.5,22,271.3,21980,1
1,thinner,10,88,8.8,4,271.4,21844,1
1,kerosene,180,87,2.8,5,267.85,22468,0
5,thinner,40,80,4.5,2,220,22637,0
4,gasoline,160,91,2.7,8,264.05,22752,0
5,thinner,10,90,11.8,6,264.5,48185,1
2,kerosene,20,93,11.5,14,271.15,22632,1
2,kerosene,60,83,3.4,2,240.65,22866,0
2,gasoline,120,92,3.8,10,249.6,22865,1
5,thinner,190,,2.5,45,269.15,21232,0
1,gasoline,150,96,0,68,284.8,22064,0
3,gasoline,100,95,5.7,50,288.25,22449,1
3,gasoline,150,96,0,67,276.8,22114,0
1,kerosene,190,96,0,66,271.8,22835,0
4,kerosene,60,108,13.5,27,316.4,22112,1
4,kerosene,150,105,4.3,42,276.75,21479,0
5,kerosene,150,91,2.8,10,254.05,22111,0
2,thinner,80,106,12.6,35,287.3,22632,1
4,gasoline,40,102,4.5,65,276.1,22633,1
5,gasoline,130,88,5.3,7,267.4,22969,0
2,gasoline,170,96,0,66,249.8,22110,0
4,thinner,190,100,3.2,27,268,22098,0
6,lpg,50,108,12.5,51,325.4,22100,1
1,gasoline,100,89,7,18,251.95,22766,1
7,lpg,100,106,0,70,272.3,22451,0
1,kerosene,60,84,0,1,233.2,22549,0
2,thinner,30,89,10.9,16,269.95,84744,1
3,thinner,120,103,8.5,33,287.65,85049E,0
5,thinner,70,107,13.2,40,298.85,21328,1
2,kerosene,40,75,0,1,217.25,22961,0
3,thinner,20,90,11.5,7,259.5,17091A,1
2,gasoline,90,104,8.5,51,279.2,22473,1
2,kerosene,50,89,10,13,251.95,84509A,1
6,lpg,140,96,0,70,269.8,84510A,0
5,kerosene,40,90,10,10,271.5,22767,1
1,gasoline,30,86,7.4,3,269.3,22768,1
4,thinner,80,94,6.5,55,250.7,21463,0
2,gasoline,170,94,1.7,55,246.7,21464,0
4,thinner,70,108,12.9,42,325.4,20820,1
3,gasoline,10,108,15.4,23,302.4,85150,1
6,lpg,170,94,2.7,50,252.7,22117,0
4,kerosene,170,92,4.2,23,256.6,21169,0
2,gasoline,30,96,2.2,67,254.8,48129,1
4,gasoline,150,92,4.8,25,248.6,82580,0
5,kerosene,30,89,10.7,14,271.95,82578,1
5,gasoline,160,101,2.7,51,291.55,82581,0
4,kerosene,120,95,3.3,60,261.25,22413,0
5,thinner,60,90,9.6,12,243.5,21907,1
5,gasoline,140,74,0,1,196.7,22441,0
3,kerosene,120,104,5.6,23,280.2,21122,1
5,thinner,50,95,14.3,38,278.25,22851,1
2,kerosene,50,101,0,68,298.55,84991,0
6,lpg,120,84,2.5,3,236.2,22810,0
2,gasoline,190,93,2,12,274.15,22809,0
6,lpg,150,95,,60,253.25,22435,0
2,thinner,70,102,3.2,65,298.1,20966,0
4,kerosene,120,105,7.9,32,312.75,20963,0
4,kerosene,100,103,2.1,66,312.65,20961,0
2,kerosene,190,96,1,65,252.8,22068,0
6,lpg,180,95,3.8,26,245.25,21743,0
3,thinner,30,110,16.1,42,315.5,21744,1
2,kerosene,90,110,12.2,38,307.5,84709B,0
1,kerosene,40,107,14.4,34,289.85,21592,1
1,gasoline,110,102,4.8,51,274.1,21587,0
4,kerosene,170,97,4.4,27,279.35,20992,0
5,thinner,80,94,6.5,55,252.7,22662,0
1,gasoline,80,104,11.9,47,273.2,85123A,1
3,thinner,120,104,6.3,25,270.2,22804,1
4,kerosene,130,90,3.3,9,240.5,82483,0
2,kerosene,160,102,4.2,38,296.1,20749,0
2,kerosene,110,104,7.3,23,284.2,20725,1
3,kerosene,150,91,4.3,23,264.05,22382,0
3,gasoline,170,84,3.6,4,235.2,20726,0
5,gasoline,110,96,0,72,258.8,22384,0
2,gasoline,50,106,12.5,22,292.3,22467,1
2,kerosene,10,93,15.4,52,252.15,84625C,1
3,kerosene,170,94,1.7,55,279.7,84625A,0
2,thinner,50,104,4,65,273.2,21108,1
5,kerosene,160,89,3.7,6,261.95,22848,0
2,kerosene,130,96,7.8,30,256.8,21033,0
4,kerosene,70,104,11,20,282.2,47570B,1
1,thinner,190,94,2.9,14,255.7,84030E,0
2,gasoline,90,89,10.9,17,262.95,22428,1
5,thinner,180,101,3.1,44,270.55,22502,0
2,thinner,80,104,10,20,310.2,22086,1
5,thinner,30,103,14.4,55,297.65,22910,1
1,gasoline,100,105,4.4,55,310.75,22837,0
5,gasoline,110,89,8.1,6,236.95,22867,0
1,gasoline,120,96,0,72,271.8,POST,0
4,gasoline,120,96,1.5,67,294.8,22297,0
1,kerosene,110,106,9.2,24,291.3,22771,1
4,thinner,80,,11,19,274.2,22772,1
7,lpg,10,85,6,3,230.75,22773,0
3,thinner,160,105,4.4,36,292.75,22805,0
5,gasoline,190,94,2.9,40,253.7,22469,0
3,gasoline,120,104,7.9,28,289.2,22197,1
6,lpg,190,102,2.9,25,272.1,21125,0
7,lpg,150,97,0,75,271.35,21126,0
2,kerosene,190,95,2.9,34,286.25,85049C,0
5,gasoline,170,97,3.6,44,263.35,85049D,0
5,thinner,50,90,9.3,5,253.5,85049E,1
3,kerosene,50,90,11,14,261.5,85049G,1
2,kerosene,70,102,2.8,66,291.1,21061,0
3,gasoline,110,104,8.7,33,288.2,21063,1
5,kerosene,30,108,14.4,35,279.4,21062,1
1,gasoline,130,104,5.8,34,279.2,84380,1
2,gasoline,190,102,2.6,50,310.1,84378,0
5,kerosene,40,85,11.3,17,250.75,22964,1
2,kerosene,90,102,10.9,16,302.1,21213,1
3,thinner,60,90,11.9,18,264.5,22417,1
4,thinner,180,93,3.9,32,275.15,21212,0
4,kerosene,140,94,4.2,22,266.7,84992,0
5,thinner,140,82,2.1,2,243.1,21975,0
7,lpg,130,92,4.2,20,237.6,22383,1
6,lpg,50,92,14.9,42,266.6,20728,1
2,kerosene,10,83,3.1,2,214.65,20727,0
2,kerosene,120,103,8.5,33,312.65,22296,0
2,thinner,140,86,4.6,3,239.3,20914,0
5,thinner,130,92,4.2,20,281.6,85123A,0
3,kerosene,10,103,14.9,35,262.65,71053,1
4,thinner,90,105,11.5,26,282.75,84406B,1
2,gasoline,120,85,4.2,4,227.75,20679,1
2,kerosene,150,91,2.3,9,269.05,37370,0
1,kerosene,140,96,0,70,274.8,21871,0
1,kerosene,10,109,15.4,46,285.95,21071,1
4,thinner,110,108,4.2,52,279.4,21068,0
5,kerosene,70,89,8.8,12,234.95,82483,1
6,lpg,140,93,5.6,33,280.15,82486,1
3,gasoline,50,104,,65,289.2,82482,0
5,gasoline,10,108,15.2,24,321.4,82494L,1
5,gasoline,140,102,5.4,38,290.1,84029G,0
1,gasoline,120,105,7.9,32,271.75,84029E,1
4,kerosene,130,104,5.8,34,301.2,22752,0
3,kerosene,120,96,1.9,66,294.8,22803,0
4,kerosene,190,93,2.7,35,262.15,21730,0
3,kerosene,50,108,13.5,27,317.4,22632,1
5,gasoline,20,91,13.6,22,274.05,22633,1
7,lpg,60,107,11,55,284.85,22537,0
5,gasoline,170,92,3.6,19,234.6,22533,0
3,gasoline,50,108,13.5,28,300.4,20982,1
2,gasoline,120,103,5.7,24,311.65,21832,1
5,kerosene,90,106,11,40,297.3,21915,0
4,gasoline,100,105,4.4,55,306.75,21914,0
1,thinner,140,91,4.3,23,253.05,21544,1
6,lpg,160,78,1.4,2,211.9,22813,0
1,kerosene,180,91,3.2,22,251.05,22114,0
5,gasoline,120,105,7.9,32,312.75,84029E,0
5,thinner,180,102,3.2,16,304.1,21479,0
5,gasoline,120,105,5,22,275.75,22964,1
3,gasoline,80,105,11.3,26,269.75,84375,1
4,thinner,70,80,3.8,2,243,22418,0
5,thinner,10,105,12.3,7,297.75,22178,1
5,gasoline,30,85,10.7,12,246.75,84970L,1
3,kerosene,130,103,5.2,44,264.65,21733,0
3,gasoline,30,90,12,10,274.5,22465,1
1,gasoline,110,105,6.8,47,280.75,84949,0
4,gasoline,50,96,0,70,293.8,20685,0
1,gasoline,120,101,5.7,18,296.55,48194,1
3,thinner,110,106,2.7,65,278.3,22488,0
1,thinner,190,105,0,72,283.75,22219,0
5,kerosene,100,98,0,75,284.9,84879,0
3,kerosene,110,102,4.8,51,276.1,21754,0
2,gasoline,20,92,13.3,,279.6,21755,1
7,lpg,170,94,3.7,32,255.7,22766,0
4,gasoline,120,96,0,72,280.8,22610,0
7,lpg,80,96,2,67,250.8,22716,0
5,kerosene,190,90,3.6,15,264.5,22706,0
3,thinner,30,111,16.3,44,311.05,22371,1
2,thinner,90,106,12.8,28,280.3,85014B,1
3,kerosene,90,89,10.9,17,254.95,85014A,1
3,kerosene,170,106,3.4,42,305.3,84997B,0
2,gasoline,170,102,0,75,262.1,21212,0
5,thinner,130,106,6.4,38,280.3,21210,0
3,thinner,10,109,4.5,67,287.95,22914,1
7,lpg,60,106,11,52,295.3,22553,0
5,gasoline,30,86,10,13,234.3,16237,1
4,kerosene,130,96,6.1,25,257.8,22714,0
1,thinner,30,85,10.7,12,218.75,22812,1
2,thinner,120,104,7.9,28,307.2,84347,1
4,kerosene,130,91,5.6,13,278.05,21587,0
5,kerosene,50,106,11.2,60,293.3,22736,0
1,gasoline,60,108,14.2,45,311.4,22492,1
4,kerosene,80,106,10.5,48,287.3,22620,0
2,thinner,90,106,11,40,282.3,22619,1
2,kerosene,150,93,6.3,14,254.15,21705,0
3,gasoline,80,91,10.3,16,266.05,90199C,1
4,gasoline,80,105,10.6,25,299.75,21479,1
5,kerosene,40,75,0,1,232.25,22111,0
5,kerosene,50,96,0,70,260.8,22785,0
3,gasoline,20,100,9.6,5,285,22975,1
3,gasoline,10,96,0,72,266.8,22972,0
5,kerosene,80,96,2.8,66,280.8,22866,0
1,gasoline,180,102,3.6,36,267.1,22568,0
7,lpg,170,92,3.9,20,284.6,85116,0
1,gasoline,160,92,5.7,24,254.6,22664,1
1,kerosene,30,107,12.3,24,282.85,21609,1
4,thinner,160,96,0,70,287.8,21866,0
1,thinner,130,97,5.7,46,257.35,20669,1
4,thinner,150,93,4.4,40,278.15,90129F,0
2,thinner,190,87,2.5,6,264.85,90210B,0
4,thinner,70,86,9.5,5,263.3,90199C,1
2,thinner,40,96,0,70,273.8,21955,1
4,gasoline,10,110,15.2,36,320.5,72802C,1
3,thinner,120,97,0,75,278.35,22109,0
1,thinner,30,87,11,6,271.85,85116,1
2,thinner,100,102,0,72,268.1,22531,0
3,kerosene,100,91,7.5,19,246.05,21811,1
7,lpg,130,96,4.2,23,287.8,22183,1
1,kerosene,20,90,13.2,18,252.5,21678,1
4,thinner,10,110,15.2,36,305.5,21676,1
4,gasoline,130,86,5,4,265.3,84625A,0
3,gasoline,120,88,6.5,6,241.4,84625C,0
2,kerosene,10,106,15.4,40,299.3,21931,1
3,gasoline,60,84,0,1,239.2,85169B,0
3,gasoline,60,106,12.6,26,305.3,16238,1
1,thinner,80,94,6.5,55,260.7,20668,1
3,gasoline,130,95,3.3,55,270.25,84906,0
4,gasoline,150,91,2.3,9,242.05,21867,0
1,kerosene,70,103,9.5,51,298.65,22075,1
6,lpg,10,93,11.9,13,256.15,21866,1
4,gasoline,30,101,5,66,290.55,21326,0
3,thinner,50,92,10.3,15,271.6,21065,1
6,lpg,170,91,3.7,21,280.05,22074,1
2,kerosene,150,103,4.2,38,268.65,22900,0
6,lpg,70,89,8.8,12,229.95,20713,1
5,thinner,20,76,1,1,229.8,20966,0
5,kerosene,50,86,8.3,4,241.3,21116,1
4,gasoline,180,96,0,67,279.8,90199C,0
3,thinner,190,100,3.2,27,276,22633,0
2,thinner,180,95,2.7,48,251.25,22866,0
2,thinner,170,100,2.3,51,287,22198,0
2,thinner,20,93,11.5,14,279.15,21824,1
1,kerosene,80,96,2,67,282.8,21823,0
2,thinner,190,96,0,70,292.8,22153,0
4,thinner,100,107,9.6,38,315.85,22197,0
3,gasoline,70,95,12.9,27,278.25,85099B,1
3,kerosene,90,102,10.9,16,265.1,85099F,1
3,gasoline,60,105,12.3,,316.75,20717,1
3,thinner,40,107,14.4,34,315.85,20723,1
3,thinner,80,96,2,67,274.8,22900,0
4,thinner,150,92,5,28,253.6,21980,0
7,lpg,10,106,15.1,18,309.3,22111,1
2,gasoline,110,104,8.5,25,315.2,22112,1
6,lpg,180,93,4,33,247.15,20728,0
1,kerosene,110,101,6,18,273.55,22382,1
2,kerosene,40,108,14.4,33,310.4,22326,1
1,thinner,50,107,14.4,33,282.85,22662,1
2,kerosene,150,93,4.5,33,278.15,22383,0
1,gasoline,20,89,12.8,17,229.95,20727,1
6,lpg,120,89,3.9,9,262.95,22328,1
5,kerosene,150,95,2.8,51,250.25,22327,0
6,lpg,150,102,3.7,48,294.1,22630,0
4,kerosene,190,102,2.6,50,281.1,22629,0
3,kerosene,80,85,5,3,243.75,21245,0
